,Name,Album,Artist,mood
0,Jocelyn Flores,17,XXXTENTACION,Disgusted
1,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Disgusted
2,how to live,how to live,yaeow,Disgusted
3,It's You,YOU,Ali Gatie,Disgusted
4,Loosing Interest,Passion & Confusion,Timmies,Disgusted
5,Tell Me Goodbye,Tell Me Goodbye,ORYL,Disgusted
6,Dead and Cold,Dead and Cold,ELIJAH MOON,Disgusted
7,Heather,Kid Krow,Conan Gray,Disgusted
8,Reckless,Reckless,Madison Beer,Disgusted
